id,sex,cage,time.of.day,n.correct.training,n.incorrect.training,session.reward.colour,n.morning.colour.test,n.afternoon.colour.test,final.presentation,n.morning.colour.initial,n.afternoon.colour.initial,species,n.morning.colour.training,n.afternoon.colour.training,colour.training.scheme
1,F,1B,1morning,16,22,purple,17,30,reversed,0,3,hecale,16,22,purple.morning.yellow.afternoon
2,M,1B,1morning,1,66,purple,3,32,reversed,24,22,hecale,1,66,purple.morning.yellow.afternoon
3,F,1B,1morning,88,6,purple,96,1,reversed,24,5,hecale,88,6,purple.morning.yellow.afternoon
4,M,1B,1morning,4,17,purple,8,45,reversed,51,1,hecale,4,17,purple.morning.yellow.afternoon
5,M,1B,1morning,25,65,purple,53,116,reversed,1,21,hecale,25,65,purple.morning.yellow.afternoon
6,M,1B,1morning,20,14,purple,18,27,reversed,38,2,hecale,20,14,purple.morning.yellow.afternoon
7,F,1B,1morning,69,32,purple,62,7,reversed,20,5,hecale,69,32,purple.morning.yellow.afternoon
8,F,1B,1morning,42,8,purple,36,19,reversed,25,21,hecale,42,8,purple.morning.yellow.afternoon
11,M,1B,1morning,0,83,purple,33,136,reversed,46,6,hecale,0,83,purple.morning.yellow.afternoon
12,F,1B,1morning,81,59,purple,47,90,reversed,15,5,hecale,81,59,purple.morning.yellow.afternoon
27,M,1B,1morning,32,28,purple,36,36,reversed,59,11,hecale,32,28,purple.morning.yellow.afternoon
28,F,1B,1morning,106,47,purple,100,15,reversed,0,0,hecale,106,47,purple.morning.yellow.afternoon
D1,M,4A,1morning,26,92,purple,25,99,normal,16,11,dryas,26,92,purple.morning.yellow.afternoon
D10,M,4A,1morning,33,18,purple,70,70,normal,48,6,dryas,33,18,purple.morning.yellow.afternoon
D11,M,4A,1morning,19,29,purple,35,119,normal,0,0,dryas,19,29,purple.morning.yellow.afternoon
D13,M,5A,1morning,24,1,yellow,54,2,reversed,3,1,dryas,24,1,yellow.morning.purple.afternoon
D14,F,5A,1morning,29,6,yellow,11,2,reversed,1,1,dryas,29,6,yellow.morning.purple.afternoon
D15,M,5A,1morning,26,2,yellow,22,9,reversed,1,0,dryas,26,2,yellow.morning.purple.afternoon
D16,M,5A,1morning,21,6,yellow,31,10,reversed,9,105,dryas,21,6,yellow.morning.purple.afternoon
D17,M,5A,1morning,46,24,yellow,16,6,reversed,14,26,dryas,46,24,yellow.morning.purple.afternoon
D18,M,5A,1morning,46,16,yellow,2,5,reversed,12,30,dryas,46,16,yellow.morning.purple.afternoon
D2,M,4A,1morning,23,34,purple,7,44,normal,7,2,dryas,23,34,purple.morning.yellow.afternoon
D20,M,5A,1morning,7,1,yellow,86,12,reversed,21,14,dryas,7,1,yellow.morning.purple.afternoon
D3,F,4A,1morning,27,25,purple,59,20,normal,15,10,dryas,27,25,purple.morning.yellow.afternoon
D4,M,4A,1morning,17,33,purple,36,94,normal,9,0,dryas,17,33,purple.morning.yellow.afternoon
D5,F,4A,1morning,2,2,purple,0,0,normal,1,2,dryas,2,2,purple.morning.yellow.afternoon
D8,M,4A,1morning,19,8,purple,5,4,normal,4,0,dryas,19,8,purple.morning.yellow.afternoon
D9,F,4A,1morning,127,0,purple,0,0,normal,22,0,dryas,127,0,purple.morning.yellow.afternoon
DM,F,5A,1morning,0,34,yellow,0,2,reversed,2,3,dryas,0,34,yellow.morning.purple.afternoon
DR,M,5A,1morning,50,3,yellow,88,12,reversed,2,3,dryas,50,3,yellow.morning.purple.afternoon
DX,F,5A,1morning,0,0,yellow,0,0,reversed,2,3,dryas,0,0,yellow.morning.purple.afternoon
H13,M,3B,1morning,72,11,yellow,90,0,reversed,2,4,hecale,72,11,yellow.morning.purple.afternoon
H14,F,3B,1morning,18,6,yellow,130,2,reversed,14,11,hecale,18,6,yellow.morning.purple.afternoon
H15,F,3B,1morning,24,7,yellow,42,21,reversed,4,9,hecale,24,7,yellow.morning.purple.afternoon
H16,M,3B,1morning,57,10,yellow,91,22,reversed,72,48,hecale,57,10,yellow.morning.purple.afternoon
H17,M,3B,1morning,35,3,yellow,148,4,reversed,1,2,hecale,35,3,yellow.morning.purple.afternoon
H18,F,3B,1morning,21,6,yellow,61,15,reversed,1,8,hecale,21,6,yellow.morning.purple.afternoon
H21,F,3B,1morning,47,27,yellow,152,40,reversed,17,6,hecale,47,27,yellow.morning.purple.afternoon
H22,M,3B,1morning,130,72,yellow,47,47,reversed,0,17,hecale,130,72,yellow.morning.purple.afternoon
H23,M,3B,1morning,128,43,yellow,53,24,reversed,2,7,hecale,128,43,yellow.morning.purple.afternoon
H24,F,3B,1morning,27,27,yellow,33,35,reversed,5,4,hecale,27,27,yellow.morning.purple.afternoon
H25,M,3B,1morning,74,22,yellow,19,8,reversed,0,12,hecale,74,22,yellow.morning.purple.afternoon
H26,M,3B,1morning,78,29,yellow,28,30,reversed,0,1,hecale,78,29,yellow.morning.purple.afternoon
H29,F,3B,1morning,59,5,yellow,114,1,reversed,3,1,hecale,59,5,yellow.morning.purple.afternoon
M1,M,2B,1morning,77,19,yellow,38,10,normal,7,40,melpomene,77,19,yellow.morning.purple.afternoon
M10,F,2B,1morning,45,18,yellow,73,1,normal,3,24,melpomene,45,18,yellow.morning.purple.afternoon
M11,M,2B,1morning,62,4,yellow,69,24,normal,0,0,melpomene,62,4,yellow.morning.purple.afternoon
M3,M,2B,1morning,39,24,yellow,4,3,normal,1,35,melpomene,39,24,yellow.morning.purple.afternoon
M4,F,2B,1morning,37,13,yellow,14,0,normal,7,1,melpomene,37,13,yellow.morning.purple.afternoon
M5,F,2B,1morning,18,0,yellow,6,0,normal,5,3,melpomene,18,0,yellow.morning.purple.afternoon
M6,M,2B,1morning,77,33,yellow,83,7,normal,26,32,melpomene,77,33,yellow.morning.purple.afternoon
M7,M,2B,1morning,218,1,yellow,157,0,normal,19,1,melpomene,218,1,yellow.morning.purple.afternoon
M8,F,2B,1morning,25,1,yellow,16,0,normal,5,12,melpomene,25,1,yellow.morning.purple.afternoon
M9,F,2B,1morning,16,8,yellow,2,0,normal,1,0,melpomene,16,8,yellow.morning.purple.afternoon
T10,M,1A,1morning,46,41,yellow,43,70,normal,1,12,hecale,46,41,yellow.morning.purple.afternoon
T11,M,1A,1morning,118,38,yellow,33,27,normal,11,15,hecale,118,38,yellow.morning.purple.afternoon
T12,M,1A,1morning,53,30,yellow,63,34,normal,3,0,hecale,53,30,yellow.morning.purple.afternoon
T17,M,1A,1morning,131,48,yellow,45,26,normal,4,1,hecale,131,48,yellow.morning.purple.afternoon
T18,M,3A,1morning,21,31,yellow,22,4,normal,0,24,hecale,21,31,yellow.morning.purple.afternoon
