id,choice,combo,cage
T17,yellow,lblue-yellow,1A
T17,lblue,lblue-yellow,1A
T10,yellow,lblue-yellow,1A
T10,lblue,lblue-yellow,1A
T10,yellow,lblue-yellow,1A
T10,lblue,lblue-yellow,1A
T17,yellow,lblue-yellow,1A
T10,yellow,lblue-yellow,1A
T17,lblue,lblue-yellow,1A
T17,yellow,lblue-yellow,1A
T17,yellow,lblue-yellow,1A
T17,lblue,lblue-yellow,1A
T10,yellow,lblue-yellow,1A
T17,lblue,lblue-yellow,1A
T10,lblue,lblue-yellow,1A
T10,lblue,lblue-yellow,1A
T17,yellow,lblue-yellow,1A
T17,lblue,lblue-yellow,1A
T10,yellow,lblue-yellow,1A
T10,yellow,lblue-yellow,1A
T17,yellow,lblue-yellow,1A
T17,yellow,lblue-yellow,1A
T17,yellow,lblue-yellow,1A
T10,lblue,lblue-yellow,1A
T10,yellow,lblue-yellow,1A
T11,yellow,lblue-yellow,1A
T17,yellow,lblue-yellow,1A
T17,lblue,lblue-yellow,1A
T17,yellow,lblue-yellow,1A
T10,yellow,lblue-yellow,1A
T17,yellow,lblue-yellow,1A
T10,yellow,lblue-yellow,1A
T11,yellow,lblue-yellow,1A
T10,lblue,lblue-yellow,1A
T17,lblue,lblue-yellow,1A
T17,lblue,lblue-yellow,1A
T10,yellow,lblue-yellow,1A
T10,lblue,lblue-yellow,1A
T17,yellow,lblue-yellow,1A
T11,yellow,lblue-yellow,1A
T10,lblue,lblue-yellow,1A
T17,lblue,lblue-yellow,1A
T10,yellow,lblue-yellow,1A
T11,lblue,lblue-yellow,1A
T17,lblue,lblue-yellow,1A
T17,lblue,lblue-yellow,1A
T10,lblue,lblue-yellow,1A
T17,yellow,lblue-yellow,1A
T10,yellow,lblue-yellow,1A
T17,lblue,lblue-yellow,1A
T17,yellow,lblue-yellow,1A
T10,yellow,lblue-yellow,1A
T17,lblue,lblue-yellow,1A
T17,yellow,lblue-yellow,1A
T10,yellow,lblue-yellow,1A
T17,lblue,lblue-yellow,1A
T17,yellow,lblue-yellow,1A
T10,lblue,lblue-yellow,1A
T17,yellow,lblue-yellow,1A
T10,yellow,lblue-yellow,1A
T17,lblue,lblue-yellow,1A
T17,lblue,lblue-yellow,1A
T11,lblue,lblue-yellow,1A
T10,yellow,lblue-yellow,1A
T10,yellow,lblue-yellow,1A
T17,yellow,lblue-yellow,1A
T10,lblue,lblue-yellow,1A
T17,yellow,lblue-yellow,1A
T10,lblue,lblue-yellow,1A
T17,yellow,lblue-yellow,1A
T10,yellow,lblue-yellow,1A
T17,yellow,lblue-yellow,1A
T10,lblue,lblue-yellow,1A
T17,lblue,lblue-yellow,1A
T10,yellow,lblue-yellow,1A
T17,yellow,lblue-yellow,1A
T11,lblue,lblue-yellow,1A
T10,lblue,lblue-yellow,1A
T12,yellow,lblue-yellow,1A
T10,yellow,lblue-yellow,1A
T10,lblue,lblue-yellow,1A
T11,yellow,lblue-yellow,1A
T11,lblue,lblue-yellow,1A
T10,yellow,lblue-yellow,1A
T10,lblue,lblue-yellow,1A
T11,lblue,lblue-yellow,1A
T10,yellow,lblue-yellow,1A
T10,lblue,lblue-yellow,1A
T12,yellow,lblue-yellow,1A
T10,lblue,lblue-yellow,1A
T12,yellow,lblue-yellow,1A
T11,lblue,lblue-yellow,1A
T10,lblue,lblue-yellow,1A
T12,lblue,lblue-yellow,1A
T11,yellow,lblue-yellow,1A
T10,yellow,lblue-yellow,1A
T10,yellow,lblue-yellow,1A
T10,lblue,lblue-yellow,1A
T11,lblue,lblue-yellow,1A
T12,lblue,lblue-yellow,1A
T17,lblue,lblue-yellow,1A
T10,yellow,lblue-yellow,1A
T11,lblue,lblue-yellow,1A
T17,yellow,lblue-yellow,1A
T17,lblue,lblue-yellow,1A
T17,lblue,lblue-yellow,1A
T17,lblue,lblue-yellow,1A
T12,lblue,lblue-yellow,1A
T17,yellow,lblue-yellow,1A
T12,yellow,lblue-yellow,1A
T11,lblue,lblue-yellow,1A
T12,yellow,lblue-yellow,1A
T12,yellow,lblue-yellow,1A
T12,yellow,lblue-yellow,1A
T12,yellow,lblue-yellow,1A
T12,lblue,lblue-yellow,1A
T12,yellow,lblue-yellow,1A
T12,lblue,lblue-yellow,1A
T12,yellow,lblue-yellow,1A
T12,yellow,lblue-yellow,1A
T12,yellow,lblue-yellow,1A
T12,lblue,lblue-yellow,1A
T12,yellow,lblue-yellow,1A
T12,yellow,lblue-yellow,1A
T12,lblue,lblue-yellow,1A
T12,lblue,lblue-yellow,1A
T12,yellow,lblue-yellow,1A
T11,lblue,lblue-yellow,1A
T12,lblue,lblue-yellow,1A
T12,lblue,lblue-yellow,1A
T12,lblue,lblue-yellow,1A
T12,yellow,lblue-yellow,1A
T12,lblue,lblue-yellow,1A
T12,yellow,lblue-yellow,1A
T12,lblue,lblue-yellow,1A
T12,lblue,lblue-yellow,1A
T12,yellow,lblue-yellow,1A
T12,yellow,lblue-yellow,1A
T11,lblue,lblue-yellow,1A
T12,yellow,lblue-yellow,1A
T12,lblue,lblue-yellow,1A
T12,yellow,lblue-yellow,1A
T12,lblue,lblue-yellow,1A
T12,lblue,lblue-yellow,1A
T12,yellow,lblue-yellow,1A
T12,lblue,lblue-yellow,1A
T11,lblue,lblue-yellow,1A
T12,lblue,lblue-yellow,1A
T12,yellow,lblue-yellow,1A
T12,lblue,lblue-yellow,1A
T12,yellow,lblue-yellow,1A
T12,lblue,lblue-yellow,1A
T12,lblue,lblue-yellow,1A
T12,lblue,lblue-yellow,1A
T11,lblue,lblue-yellow,1A
T12,yellow,lblue-yellow,1A
T17,lblue,lblue-yellow,1A
